Issue_id_Summary,Issue id,Summary,clean_summary,cluster
27915	Assessment not Listed after due date has passed,27915,Assessment not Listed after due date has passed,assessment listed due date passed,12
23435	Not able to find Quiz in Assessments (Exception Testing),23435,Not able to find Quiz in Assessments (Exception Testing),able find quiz assessment exception testing,19
27887	Total Grade Points while grading the questions being misaligned,27887,Total Grade Points while grading the questions being misaligned,total grade point grading question misaligned,11
36786	Samigo - Enter comments for students with no submission,36786,Samigo - Enter comments for students with no submission,samigo enter comment student submission,17
10928	Remote users experience audio problems,10928,Remote users experience audio problems,remote user experience audio problem,18
36783	Email notifications over hidden folders with accessible contents,36783,Email notifications over hidden folders with accessible contents,email notification hidden folder accessible content,15
23404	Clicking 'Back to home screen' from embed content page is redirected to dissimilar help page,23404,Clicking 'Back to home screen' from embed content page is redirected to dissimilar help page,clicking back home screen embed content page redirected dissimilar help page,15
36769	Gradebook % of the final grade for each item,36769,Gradebook % of the final grade for each item,gradebook final grade item,2
"54132	""Change language for """"Extra credit"""" when creating/editing Gradebook item""",54132,"""Change language for """"Extra credit"""" when creating/editing Gradebook item""",change language extra credit creating editing gradebook item,2
23387	Assessment Submission time not shown for Excepted Student/Group after the Due date/time is over ,23387,Assessment Submission time not shown for Excepted Student/Group after the Due date/time is over ,assessment submission time shown excepted student group due date time,12
13144	Evalsys web report show number in group,13144,Evalsys web report show number in group,evalsys web report show number group,20
41180	Null sometimes in description field for search,41180,Null sometimes in description field for search,null sometimes description field search,8
41174	Assignment can be taken before prerequisite is completed,41174,Assignment can be taken before prerequisite is completed,assignment taken prerequisite completed,6
41164	Group dropdown missing on assignment released to group(s),41164,Group dropdown missing on assignment released to group(s),group dropdown missing assignment released group,7
23420	Student's view of returned assignment when resubmission allowed does not have history,23420,Student's view of returned assignment when resubmission allowed does not have history,student view returned assignment resubmission allowed history,6
58431	Preferences time zone / adding forum date and time,58431,Preferences time zone / adding forum date and time,preference time zone adding forum date time,12
23416	Unable to download my own zip file,23416,Unable to download my own zip file,unable download zip file,5
62690	Adding Back button at the bottom of Send to printer page,62690,Adding Back button at the bottom of Send to printer page,adding back button bottom send printer page,10
62682	Bulk edit syllabus has an extra set of checkboxes,62682,Bulk edit syllabus has an extra set of checkboxes,bulk edit syllabus extra set checkboxes,0
27889	Assignments-All Purpose Item: Student list should be ordered either by first name or last name,27889,Assignments-All Purpose Item: Student list should be ordered either by first name or last name,assignment purpose item student list ordered either first name last name,6
27885	Connection tool takes extra steps to connect,27885,Connection tool takes extra steps to connect,connection tool take extra step connect,10
41134	Gradebook NG / missing key when hovering next page,41134,Gradebook NG / missing key when hovering next page,gradebook ng missing key hovering next page,2
36738	Sent with copy to email address is wrong/misleading,36738,Sent with copy to email address is wrong/misleading,sent copy email address wrong misleading,0
54134	Selectable receiver in Submission Notification Email Options,54134,Selectable receiver in Submission Notification Email Options,selectable receiver submission notification email option,17
12362	Cannot re-assign hierarchy nodes in an existing evaluation,12362,Cannot re-assign hierarchy nodes in an existing evaluation,cannot assign hierarchy node existing evaluation,3
36701	New Gradebook Custom Export Option: Choose Section(s) to Export,36701,New Gradebook Custom Export Option: Choose Section(s) to Export,new gradebook custom export option choose section export,2
45531	No content is displayed when a image/vedio file is uploaded through url in lessons tool and edited later with an option to open in same window,45531,No content is displayed when a image/vedio file is uploaded through url in lessons tool and edited later with an option to open in same window,content displayed image vedio file uploaded url lesson tool edited later option open window,5
"45528	""Unable to see the """"Return to Lessons"""" button on top """,45528,"""Unable to see the """"Return to Lessons"""" button on top """,unable see return lesson button top,1
62701	Assignments List Adding a Box for Release of Grades,62701,Assignments List Adding a Box for Release of Grades,assignment list adding box release grade,6
62681	Connect button in pop-up when searching for user does not work,62681,Connect button in pop-up when searching for user does not work,connect button pop searching user work,18
54083	Modify ckeditor.launch configuration to use toolbarGroups,54083,Modify ckeditor.launch configuration to use toolbarGroups,modify ckeditor launch configuration use toolbargroups,0
62683	Oauth_timestamp is intermittently incorrect,62683,Oauth_timestamp is intermittently incorrect,oauth_timestamp intermittently incorrect,10
58292	Resources and Dropbox special site quota in GB,58292,Resources and Dropbox special site quota in GB,resource dropbox special site quota gb,5
36611	Move Roster2 to use portal.i18n library,36611,Move Roster2 to use portal.i18n library,move roster use portal library,10
62558	update Translation,62558,update Translation,update translation,9
12107	Anonymous evaluations lists responder statuses as untaken,12107,Anonymous evaluations lists responder statuses as untaken,anonymous evaluation list responder status untaken,3
53970	Bleed through when question text wraps,53970,Bleed through when question text wraps,bleed question text wrap,11
36615	GradebookNG row alignment issue,36615,GradebookNG row alignment issue,gradebookng row alignment issue,0
62590	Port the master roster code back to 11.x,62590,Port the master roster code back to 11.x,port master roster code back x,10
23259	Include citationCollectionId in stacktrace to fix broken lists more quickly,23259,Include citationCollectionId in stacktrace to fix broken lists more quickly,include citationcollectionid stacktrace fix broken list quickly,8
45397	Back to top side floating button,45397,Back to top side floating button,back top side floating button,10
41064	Assignments always show red flag,41064,Assignments always show red flag,assignment always show red flag,6
49685	msgcntr: forums: Gradebook de-anonymizes an anon Forum topic where NO user is allowed to see posters' IDs,49685,msgcntr: forums: Gradebook de-anonymizes an anon Forum topic where NO user is allowed to see posters' IDs,msgcntr forum gradebook de anonymizes anon forum topic user allowed see poster id,2
41055	Page order Tool in Site Info drag and drop in IE9-11 issue,41055,Page order Tool in Site Info drag and drop in IE9-11 issue,page order tool site info drag drop ie issue,14
32129	Embeded SCORM content not resizing correctly,32129,Embeded SCORM content not resizing correctly,embeded scorm content resizing correctly,15
53918	Add 'Class Test' to Event Types,53918,Add 'Class Test' to Event Types,add class test event type,13
12835	Using Ampersand In title is transformed to &amp; after saving,12835,Using Ampersand In title is transformed to &amp; after saving,using ampersand title transformed amp saving,10
12683	Editing a template item creates a loop,12683,Editing a template item creates a loop,editing template item creates loop,16
27723	commons-pool2 & commons-dbcp2,27723,commons-pool2 & commons-dbcp2,common pool common dbcp,0
"36595	""""""Insert original text"""" link in Forums does not work""",36595,"""""""Insert original text"""" link in Forums does not work""",insert original text link forum work,2
45337	Upgrade Samigo QTI to support 2.x versions,45337,Upgrade Samigo QTI to support 2.x versions,upgrade samigo qti support x version,10
11910	Evaluations can sometimes duplicate the responses on an saved submission,11910,Evaluations can sometimes duplicate the responses on an saved submission,evaluation sometimes duplicate response saved submission,17
45381	Peer assignment options not persistently displayed,45381,Peer assignment options not persistently displayed,peer assignment option persistently displayed,6
53926	Penalty factor for test,53926,Penalty factor for test,penalty factor test,13
45378	Upgrade to pluto 3.0,45378,Upgrade to pluto 3.0,upgrade pluto,10
40972	Tidy up accessors in SiteAction,40972,Tidy up accessors in SiteAction,tidy accessors siteaction,10
62495	Numeric Response -Mark with calculation error,62495,Numeric Response -Mark with calculation error,numeric response mark calculation error,3
62489	Strange way to run the resubmission option in the configuration of an assignment,62489,Strange way to run the resubmission option in the configuration of an assignment,strange way run resubmission option configuration assignment,6
36546	portal chat is unusable on a mobile,36546,portal chat is unusable on a mobile,portal chat unusable mobile,0
40952	Late Accept and Due Date fields behave incorrectly,40952,Late Accept and Due Date fields behave incorrectly,late accept due date field behave incorrectly,12
"36538	""User IDs are shown as """"display-userid"""" """,36538,"""User IDs are shown as """"display-userid"""" """,user id shown display userid,18
32097	Profile images are not shown; alt text is incorrect,32097,Profile images are not shown; alt text is incorrect,profile image shown alt text incorrect,18
45344	wrong image used in tools dropdown shortcut,45344,wrong image used in tools dropdown shortcut,wrong image used tool dropdown shortcut,10
40945	wrong icon used for LTI (external) tools,40945,wrong icon used for LTI (external) tools,wrong icon used lti external tool,10
36529	TEST & QUIZZES -CALCULATED QUESTION LOOKUP FROM TABLE,36529,TEST & QUIZZES -CALCULATED QUESTION LOOKUP FROM TABLE,test quiz calculated question lookup table,11
32090	TEST & QUIZZES (NUMERIC) FEEDBACK,32090,TEST & QUIZZES (NUMERIC) FEEDBACK,test quiz numeric feedback,13
27721	Numerical response weights,27721,Numerical response weights,numerical response weight,10
32088	Calendar border is missing,32088,Calendar border is missing,calendar border missing,0
53950	Imported announcement's scheduled emails aren't sent and may overwrite the original announcement's email when editing,53950,Imported announcement's scheduled emails aren't sent and may overwrite the original announcement's email when editing,imported announcement scheduled email sent may overwrite original announcement email editing,8
40991	Unable to set Home tool to required in toolOrder.xml,40991,Unable to set Home tool to required in toolOrder.xml,unable set home tool required toolorder xml,10
36522	Moving LHS tool bar when scrolling doesn't move the subsites as well,36522,Moving LHS tool bar when scrolling doesn't move the subsites as well,moving lh tool bar scrolling move subsites well,10
49643	Assignment allows Collaborative Group Submission AND Display to Site: Error,49643,Assignment allows Collaborative Group Submission AND Display to Site: Error,assignment allows collaborative group submission display site error,17
58209	Allow column properties on collapsed section to be edited,58209,Allow column properties on collapsed section to be edited,allow column property collapsed section edited,0
27702	403 error accessing content on group pages if group membership is modified,27702,403 error accessing content on group pages if group membership is modified,error accessing content group page group membership modified,7
36561	New Tool: Community Data Exchange,36561,New Tool: Community Data Exchange,new tool community data exchange,10
23221	announcements RSS feed should not include long description ,23221,announcements RSS feed should not include long description ,announcement r feed include long description,8
53915	End Time value not displayed when editing Calendar Event,53915,End Time value not displayed when editing Calendar Event,end time value displayed editing calendar event,13
12101	Errors starting 2 app servers concurrently from data fixup,12101,Errors starting 2 app servers concurrently from data fixup,error starting app server concurrently data fixup,3
53882	Scoring text more precise in assessments based in question pools,53882,Scoring text more precise in assessments based in question pools,scoring text precise assessment based question pool,11
49588	Help popup frames go wrong when resized (Chrome),49588,Help popup frames go wrong when resized (Chrome),help popup frame go wrong resized chrome,15
40996	rewrite URLs within Home tool,40996,rewrite URLs within Home tool,rewrite url within home tool,19
45321	Sync is failing for an internal user,45321,Sync is failing for an internal user,sync failing internal user,18
62492	Enhance Schedule text on Edit Tools page,62492,Enhance Schedule text on Edit Tools page,enhance schedule text edit tool page,10
23211	allow one to copy a list of site member's usernames in Site Info,23211,allow one to copy a list of site member's usernames in Site Info,allow one copy list site member usernames site info,14
62536	Add detailed reporting for question analysis,62536,Add detailed reporting for question analysis,add detailed reporting question analysis,11
62530	Scrolling down on mobile device sometimes creates two different layers of overlapping text,62530,Scrolling down on mobile device sometimes creates two different layers of overlapping text,scrolling mobile device sometimes creates two different layer overlapping text,0
58191	Adding an image through the CK Editor is cumbersome,58191,Adding an image through the CK Editor is cumbersome,adding image ck editor cumbersome,10
53900	Drag and drop ability to reorganise questions,53900,Drag and drop ability to reorganise questions,drag drop ability reorganise question,11
40957	Rewrite urls to YouTube to not use the http protocol,40957,Rewrite urls to YouTube to not use the http protocol,rewrite url youtube use http protocol,19
"36544	""Stop auto-adding target=""""_blank"""" to the site description when https link is added via Site Info""",36544,"""Stop auto-adding target=""""_blank"""" to the site description when https link is added via Site Info""",stop auto adding target _blank site description http link added via site info,14
58167	System breaks down while importing the lessons ,58167,System breaks down while importing the lessons ,system break importing lesson,1
23176	Sorting in Sakai should use the user's locale,23176,Sorting in Sakai should use the user's locale,sorting sakai use user locale,18
53863	Site groups based on provider IDs don't update straight away.,53863,Site groups based on provider IDs don't update straight away.,site group based provider id update straight away,9
36543	tool-reset URL Incorrect,36543,tool-reset URL Incorrect,tool reset url incorrect,19
23162	Syllabus redirect frame is not full height,23162,Syllabus redirect frame is not full height,syllabus redirect frame full height,0
58198	Long custom site titles spill out of site button/banner and change font,58198,Long custom site titles spill out of site button/banner and change font,long custom site title spill site button banner change font,14
40982	date picker is cutting off the bottom of the month/year dropdowns,40982,date picker is cutting off the bottom of the month/year dropdowns,date picker cutting bottom month year dropdowns,12
40975	Question Progress drawer overlaps large images,40975,Question Progress drawer overlaps large images,question progress drawer overlap large image,11
36533	Large images in Hot Spot Questions push Edit and Remove buttons off page,36533,Large images in Hot Spot Questions push Edit and Remove buttons off page,large image hot spot question push edit remove button page,11
27681	PDF export should use American letter size instead of A4 for USA locales,27681,PDF export should use American letter size instead of A4 for USA locales,pdf export use american letter size instead usa locale,10
45300	extracting ZIP files has issues with the API design,45300,extracting ZIP files has issues with the API design,extracting zip file issue api design,5
40964	addResource needs to handle file name too long,40964,addResource needs to handle file name too long,addresource need handle file name long,5
45296	Duplicate signup buttons at the top of the export page,45296,Duplicate signup buttons at the top of the export page,duplicate signup button top export page,10
32083	Difficult to read Forum post- one paragraph is displayed in one line in mobile devices,32083,Difficult to read Forum post- one paragraph is displayed in one line in mobile devices,difficult read forum post one paragraph displayed one line mobile device,2
58174	Assignments / peer reviewer comments text field,58174,Assignments / peer reviewer comments text field,assignment peer reviewer comment text field,6
45285	Improve iframe resizing,45285,Improve iframe resizing,improve iframe resizing,10
62479	allow one to copy a list of site member's usernames in Site Info,62479,allow one to copy a list of site member's usernames in Site Info,allow one copy list site member usernames site info,14
23156	HotSpot Question Type Usability Issue,23156,HotSpot Question Type Usability Issue,hotspot question type usability issue,11
23154	Stack trace on the bottom of every page in master if you don't run the 12 conversion script,23154,Stack trace on the bottom of every page in master if you don't run the 12 conversion script,stack trace bottom every page master run conversion script,16
45323	Access user cannot upload to resources,45323,Access user cannot upload to resources,access user cannot upload resource,5
58212	high CPU and dbpool spike with Signup tool,58212,high CPU and dbpool spike with Signup tool,high cpu dbpool spike signup tool,10
27675	Attachments Disappear when Creating Group Forums,27675,Attachments Disappear when Creating Group Forums,attachment disappear creating group forum,7
53847	Null Exception while submit the Assessment,53847,Null Exception while submit the Assessment,null exception submit assessment,19
32048	Javascipt messages not internationalized,32048,Javascipt messages not internationalized,javascipt message internationalized,3
40892	Uploading files to  multiple dropbox folders (by group) doesn't work for all students,40892,Uploading files to  multiple dropbox folders (by group) doesn't work for all students,uploading file multiple dropbox folder group work student,5
36493	Set default antisamy behavior to encode instead of remove,36493,Set default antisamy behavior to encode instead of remove,set default antisamy behavior encode instead remove,15
27660	Some actions are disabled if you toggle a folder,27660,Some actions are disabled if you toggle a folder,action disabled toggle folder,0
58188	Centralize JS/CSS HTML head creation,58188,Centralize JS/CSS HTML head creation,centralize j cs html head creation,0
62433	Improve button consistency in forums,62433,Improve button consistency in forums,improve button consistency forum,2
36481	Delete option when creating folders doesn't work properly,36481,Delete option when creating folders doesn't work properly,delete option creating folder work properly,10
"32026	""Add """"Subject"""" in the list of emailtemplate""",32026,"""Add """"Subject"""" in the list of emailtemplate""",add subject list emailtemplate,14
27651	NPE when locale is null,27651,NPE when locale is null,npe locale null,10
62430	Course Start Date,62430,Course Start Date,course start date,12
58178	Administrator role in course,58178,Administrator role in course,administrator role course,7
32012	Null pointer exception when viewing an announcement linked with an assignment (If the assignment tool is later removed),32012,Null pointer exception when viewing an announcement linked with an assignment (If the assignment tool is later removed),null pointer exception viewing announcement linked assignment assignment tool later removed,6
58164	Submit after preview in assignments won't work even if honor code checkbox was clicked before entering preview,58164,Submit after preview in assignments won't work even if honor code checkbox was clicked before entering preview,submit preview assignment work even honor code checkbox clicked entering preview,6
36503	Improve Roster Bundle Management,36503,Improve Roster Bundle Management,improve roster bundle management,10
32023	Change CKEditor defaults to ensure responsiveness,32023,Change CKEditor defaults to ensure responsiveness,change ckeditor default ensure responsiveness,15
23131	Improve CKEditor Smiley Configuration,23131,Improve CKEditor Smiley Configuration,improve ckeditor smiley configuration,0
49550	HTML tags rendered by Samigo in the Fill in Blank questions (i.e. in between the {}),49550,HTML tags rendered by Samigo in the Fill in Blank questions (i.e. in between the {}),html tag rendered samigo fill blank question e,11
36495	Redefine permissions in Sign-Up tool,36495,Redefine permissions in Sign-Up tool,redefine permission sign tool,10
17461	Broken 'Close Window and Exit' button when submitting an assessment started through My Workspace - Dashboard,17461,Broken 'Close Window and Exit' button when submitting an assessment started through My Workspace - Dashboard,broken close window exit button submitting assessment started workspace dashboard,10
32062	Reset password doesn't have institutional logo,32062,Reset password doesn't have institutional logo,reset password institutional logo,10
62482	Subsite title gets cut on mobile view,62482,Subsite title gets cut on mobile view,subsite title get cut mobile view,0
27568	Sakai Entity Broker REST Implementation test fails,27568,Sakai Entity Broker REST Implementation test fails,sakai entity broker rest implementation test fails,13
17709	Provide alternative text for images - Dashboard icons,17709,Provide alternative text for images - Dashboard icons,provide alternative text image dashboard icon,0
"23146	""Feature Request - Gradebook - Add a """"Penalty"""" option for Gradebook items""",23146,"""Feature Request - Gradebook - Add a """"Penalty"""" option for Gradebook items""",feature request gradebook add penalty option gradebook item,2
62464	Gradebook category doesn't automatically adjust to size,62464,Gradebook category doesn't automatically adjust to size,gradebook category automatically adjust size,2
45244	No alert message given when syllabus added with blank 'Title',45244,No alert message given when syllabus added with blank 'Title',alert message given syllabus added blank title,3
53799	Viewing Topics: extra column/sorting icon for list of conversations posted,53799,Viewing Topics: extra column/sorting icon for list of conversations posted,viewing topic extra column sorting icon list conversation posted,0
45237	Adding attachments to a topic: 'No attachments yet' text is removed but empty blue box is still shown ,45237,Adding attachments to a topic: 'No attachments yet' text is removed but empty blue box is still shown ,adding attachment topic attachment yet text removed empty blue box still shown,0
40891	Upload file bar covers filename when uploading through Drop Box,40891,Upload file bar covers filename when uploading through Drop Box,upload file bar cover filename uploading drop box,5
23129	Missing check null before new file,23129,Missing check null before new file,missing check null new file,5
49548	jconsole error adding pictures in the Profile tool,49548,jconsole error adding pictures in the Profile tool,jconsole error adding picture profile tool,18
45233	jconsole error viewing user information popup (hover mouse over username) if user has profile image,45233,jconsole error viewing user information popup (hover mouse over username) if user has profile image,jconsole error viewing user information popup hover mouse username user profile image,18
53790	General configuration table for content review activities,53790,General configuration table for content review activities,general configuration table content review activity,15
27587	oracle 10.5 conversion script - cannot alter column type because it contains data,27587,oracle 10.5 conversion script - cannot alter column type because it contains data,oracle conversion script cannot alter column type contains data,0
62432	Malformed unique constraint in Oracle 11 conversion script,62432,Malformed unique constraint in Oracle 11 conversion script,malformed unique constraint oracle conversion script,0
32019	File Upload question: Upload button should be disabled until a file has been chosen,32019,File Upload question: Upload button should be disabled until a file has been chosen,file upload question upload button disabled file chosen,5
27584	Narrow profile pictures are shown as tiles in Log Out drop down menu ,27584,Narrow profile pictures are shown as tiles in Log Out drop down menu ,narrow profile picture shown tile log drop menu,18
62426	No alert message is given when web link is created without any URL.,62426,No alert message is given when web link is created without any URL.,alert message given web link created without url,19
53825	Spaces needed after colons,53825,Spaces needed after colons,space needed colon,10
62423	Sites waffle dropdown not working on Test Settings page,62423,Sites waffle dropdown not working on Test Settings page,site waffle dropdown working test setting page,13
"53823	""""""Sort by ending date/ modified date"""" columns do not have any data in reorder announcements""",53823,"""""""Sort by ending date/ modified date"""" columns do not have any data in reorder announcements""",sort ending date modified date column data reorder announcement,12
12555	email reminder sent to all students instead of non-respondent,12555,email reminder sent to all students instead of non-respondent,email reminder sent student instead non respondent,0
32007	Create new events that differentiate the site.upd event,32007,Create new events that differentiate the site.upd event,create new event differentiate site upd event,13
45216	Tests & Quizzes - Add assessment setting to decide impact of extra credit on total points possible,45216,Tests & Quizzes - Add assessment setting to decide impact of extra credit on total points possible,test quiz add assessment setting decide impact extra credit total point possible,13
45213	Next button on a Lessons subpage does not work as expected ,45213,Next button on a Lessons subpage does not work as expected ,next button lesson subpage work expected,1
12387	How to solve error messgaes in evaluation tool,12387,How to solve error messgaes in evaluation tool,solve error messgaes evaluation tool,3
36446	An undo button is highly desirable   ,36446,An undo button is highly desirable   ,undo button highly desirable,10
23094	please use lazy to CXF,23094,please use lazy to CXF,please use lazy cxf,10
62418	please use lazy to samigo,62418,please use lazy to samigo,please use lazy samigo,10
49557	Site drawer overlaps with user/profile menu,49557,Site drawer overlaps with user/profile menu,site drawer overlap user profile menu,18
36492	Unclear due/retract date message shown to students beginning quiz,36492,Unclear due/retract date message shown to students beginning quiz,unclear due retract date message shown student beginning quiz,12
58137	Left hand tool list moves when user scrolls - unable to open all tools in a long list,58137,Left hand tool list moves when user scrolls - unable to open all tools in a long list,left hand tool list move user scroll unable open tool long list,10
45259	Public Announcement is not displaying to users,45259,Public Announcement is not displaying to users,public announcement displaying user,8
49546	How to resolve exception in Evaluations tool?,49546,How to resolve exception in Evaluations tool?,resolve exception evaluation tool,19
45252	Signup does not generate an alert re Schedule not being present,45252,Signup does not generate an alert re Schedule not being present,signup generate alert schedule present,0
23066	Delete item warning: Icon out of alignment,23066,Delete item warning: Icon out of alignment,delete item warning icon alignment,0
62383	Incorrect error message displayed when adding a new assignment through Lessons tool,62383,Incorrect error message displayed when adding a new assignment through Lessons tool,incorrect error message displayed adding new assignment lesson tool,3
49540	Import From File (xml/QTI export from other Sakai server) Into Tests & Quizzes is Broken,49540,Import From File (xml/QTI export from other Sakai server) Into Tests & Quizzes is Broken,import file xml qti export sakai server test quiz broken,13
27590	TAs cannot grade Assignments through the Assignments tool,27590,TAs cannot grade Assignments through the Assignments tool,ta cannot grade assignment assignment tool,6
23123	Content Review inline submission retro activation,23123,Content Review inline submission retro activation,content review inline submission retro activation,17
53794	jconsole errors opening Section Info tool,53794,jconsole errors opening Section Info tool,jconsole error opening section info tool,10
32024	Adding test to GBNG: no place to assign category,32024,Adding test to GBNG: no place to assign category,adding test gbng place assign category,13
"45238	""Change description for GBNG in """"Manage Tools"""" screen.""",45238,"""Change description for GBNG in """"Manage Tools"""" screen.""",change description gbng manage tool screen,8
27583	Can't add multiple citations in Resource at once,27583,Can't add multiple citations in Resource at once,add multiple citation resource,5
36464	Site participants not displayed in 'Worksite Setup' when 'Prev' or 'Next' button is clicked.,36464,Site participants not displayed in 'Worksite Setup' when 'Prev' or 'Next' button is clicked.,site participant displayed worksite setup prev next button clicked,14
27579	Syllabus has com.sun.faces.verifyObjects enabled.,27579,Syllabus has com.sun.faces.verifyObjects enabled.,syllabus com sun face verifyobjects enabled,10
"32011	""""""Table Properties"""" freezes while inserting table into syllabus via the CKeditor. """,32011,"""""""Table Properties"""" freezes while inserting table into syllabus via the CKeditor. """,table property freeze inserting table syllabus via ckeditor,10
23111	Tests & Quizzes - Setting Default Adjustments,23111,Tests & Quizzes - Setting Default Adjustments,test quiz setting default adjustment,13
40881	Cannot publish the syllabus for 'bulk add' with start and end date being same.,40881,Cannot publish the syllabus for 'bulk add' with start and end date being same.,cannot publish syllabus bulk add start end date,12
32006	Assignments associated with the same GBNG item automatically given same grade,32006,Assignments associated with the same GBNG item automatically given same grade,assignment associated gbng item automatically given grade,6
32003	Sorting options behave differently/don't work at all in Grade Report tab,32003,Sorting options behave differently/don't work at all in Grade Report tab,sorting option behave differently work grade report tab,20
"23103	""Errors when double-clicking on buttons within the interface (such as the """"Remove"""" button in the Trash)""",23103,"""Errors when double-clicking on buttons within the interface (such as the """"Remove"""" button in the Trash)""",error double clicking button within interface remove button trash,10
31986	WebDAV Upload Fails,31986,WebDAV Upload Fails,webdav upload fails,5
53819	Issue with 'Uploading ZIP files',53819,Issue with 'Uploading ZIP files',issue uploading zip file,5
62385	Condense Add Participants workflow to two screens,62385,Condense Add Participants workflow to two screens,condense add participant workflow two screen,14
"49497	""Tests & Quizzes - """"Require Rationale"""" is not a required element once enabled""",49497,"""Tests & Quizzes - """"Require Rationale"""" is not a required element once enabled""",test quiz require rationale required element enabled,13
53801	Unable to copy an announcement that was created by the same thread,53801,Unable to copy an announcement that was created by the same thread,unable copy announcement created thread,8
12549	Evaluation results viewable datepicker not working,12549,Evaluation results viewable datepicker not working,evaluation result viewable datepicker working,3
23105	Duplicate use of oracle sequence in Lesson Builder,23105,Duplicate use of oracle sequence in Lesson Builder,duplicate use oracle sequence lesson builder,1
11722	Deadlock when group is created in template,11722,Deadlock when group is created in template,deadlock group created template,19
62379	Set default target of 'suggest feature' to be the apereo Sakai farm landing page,62379,Set default target of 'suggest feature' to be the apereo Sakai farm landing page,set default target suggest feature apereo sakai farm landing page,15
23122	Adding Rubrics to Sakai Samigo and Assignments,23122,Adding Rubrics to Sakai Samigo and Assignments,adding rubric sakai samigo assignment,17
45224	Message Center Notifications: extra blank column,45224,Message Center Notifications: extra blank column,message center notification extra blank column,3
62397	IMS Content Package Not Imported,62397,IMS Content Package Not Imported,ims content package imported,15
36444	Lesson Tool - Add Question Function Request,36444,Lesson Tool - Add Question Function Request,lesson tool add question function request,1
31978	Box Integration,31978,Box Integration,box integration,0
49515	Favorites & Organize Favorites show -1 ,49515,Favorites & Organize Favorites show -1 ,favorite organize favorite show,10
"23100	""Clicking """"Add a Category"""" unnecessarily takes user to top of page""",23100,"""Clicking """"Add a Category"""" unnecessarily takes user to top of page""",clicking add category unnecessarily take user top page,18
"53750	""""""View Site As"""" drop down menu is clickable but mouse doesn't change""",53750,"""""""View Site As"""" drop down menu is clickable but mouse doesn't change""",view site drop menu clickable mouse change,14
40851	Move actual Calendar up on screen,40851,Move actual Calendar up on screen,move actual calendar screen,0
62370	edit published assessment Multiple choice multiple selection to multiple choice single selection grading issue,62370,edit published assessment Multiple choice multiple selection to multiple choice single selection grading issue,edit published assessment multiple choice multiple selection multiple choice single selection grading issue,10
"45200	""""""Invalid URL"""" alert appears when adding multiple instances of Web Content tool""",45200,"""""""Invalid URL"""" alert appears when adding multiple instances of Web Content tool""",invalid url alert appears adding multiple instance web content tool,15
36418	Selecting gradebook item in Forum Grading,36418,Selecting gradebook item in Forum Grading,selecting gradebook item forum grading,2
"36405	""""""Search"""" in roster tool only works when selecting from dynamic results - search button itself only resets tool""",36405,"""""""Search"""" in roster tool only works when selecting from dynamic results - search button itself only resets tool""",search roster tool work selecting dynamic result search button reset tool,10
"53741	""Survey Matrix Question missing space before """"Column(forced ranking)""""""",53741,"""Survey Matrix Question missing space before """"Column(forced ranking)""""""",survey matrix question missing space column forced ranking,11
49490	All Purpose Item doesn't use CKEditor,49490,All Purpose Item doesn't use CKEditor,purpose item use ckeditor,10
"36399	""Student view - Screen title still displays as """"Assignment List""""""",36399,"""Student view - Screen title still displays as """"Assignment List""""""",student view screen title still display assignment list,6
36382	Purpose and function of Options unclear,36382,Purpose and function of Options unclear,purpose function option unclear,10
62331	Inconsistent breadcrumbs in Messages,62331,Inconsistent breadcrumbs in Messages,inconsistent breadcrumb message,3
"23029	""Download All- """"Include..."""" option doesn't work""",23029,"""Download All- """"Include..."""" option doesn't work""",download include option work,8
36335	Event time format is inconsistent for events occurring Today and Tomorrow,36335,Event time format is inconsistent for events occurring Today and Tomorrow,event time format inconsistent event occurring today tomorrow,13
49418	Tool title can be set but is never displayed,49418,Tool title can be set but is never displayed,tool title set never displayed,10
36328	Syllabus: Print Individual Items,36328,Syllabus: Print Individual Items,syllabus print individual item,10
27531	In the Syllabus tool clicking print view and then view as student changes the main window inappropriately,27531,In the Syllabus tool clicking print view and then view as student changes the main window inappropriately,syllabus tool clicking print view view student change main window inappropriately,10
62350	Change Wording: Add to Save as Draft,62350,Change Wording: Add to Save as Draft,change wording add save draft,14
58038	Some URLS do not work using the redirect option in certain conditions,58038,Some URLS do not work using the redirect option in certain conditions,url work using redirect option certain condition,10
31918	Statistics Tool - Reports - Printing View,31918,Statistics Tool - Reports - Printing View,statistic tool report printing view,20
27505	Show Model Answer field in Assignments when it is set to be displayed to students,27505,Show Model Answer field in Assignments when it is set to be displayed to students,show model answer field assignment set displayed student,6
40798	Roster / add permission so the print feature can be turned on/off by role,40798,Roster / add permission so the print feature can be turned on/off by role,roster add permission print feature turned role,10
45167	Exam-type events have same icon as Hidden items,45167,Exam-type events have same icon as Hidden items,exam type event icon hidden item,13
36347	View in Site shows current week in Calendar tool regardless of actual event date,36347,View in Site shows current week in Calendar tool regardless of actual event date,view site show current week calendar tool regardless actual event date,13
49433	Newly created message would not send to instructor and student,49433,Newly created message would not send to instructor and student,newly created message would send instructor student,19
"36338	""""""User Audit Log"""" page in Site Info has no Menu bar""",36338,"""""""User Audit Log"""" page in Site Info has no Menu bar""",user audit log page site info menu bar,18
62339	contributed syllabus integration with Oracle SIS,62339,contributed syllabus integration with Oracle SIS,contributed syllabus integration oracle si,0
